Component Description,QTY,Ref Des,Mfg P/N #,Manufacturer,Distributor P/N #
"Non-Polarized Capacitor, 100nF, C_Disc_D5.0mm_W2.5mm_P5.00mm","3","C1,C2,C4","","",""
"Non-Polarized Capacitor, 10uF, CP_Radial_D5.0mm_P2.00mm","1","C3","","",""
"Diode","1","D1","1N4148-1","Microchip",""
"","1","J1","2222","Adafruit",""
"Connector","2","J2,J3","SDS-50J","Same Sky (Formerly CUI Devices)",""
"Resistor, 10kΩ, H_AXIAL-P7.62_D2.5","4","R1,R2,R3,R4","","",""
"Resistor, 10Ω, H_AXIAL-P7.62_D2.5","1","R5","","",""
"Resistor, 33Ω, H_AXIAL-P7.62_D2.5","1","R6","","",""
"Resistor, 220Ω, H_AXIAL-P7.62_D2.5","1","R7","","",""
"Resistor, 1kΩ, H_AXIAL-P7.62_D2.5","1","R8","","",""
"Potentiometer","10","RV1,RV10,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9","PDB181-P415K-103B","Bourns",""
"Switch","4","SW1,SW2,SW3,SW4","MX2A-LC3W","Cherry Americas LLC",""
"Integrated Circuit","2","U1,U2","MCP3008-I/P","Microchip Technology",""
"Isolator","1","U3","H11L1M","ON Semiconductor",""
