Item #,Ref Des,Qty,Manufacturer,Mfg Part #,Description / Value,Package,Type,Your Instructions / Notes
"1","C1,C2,C4","3","","","Non-Polarized Capacitor, 100nF, C_Disc_D5.0mm_W2.5mm_P5.00mm","C_Disc_D5.0mm_W2.5mm_P5.00mm","",""
"2","C3","1","","","Non-Polarized Capacitor, 10uF, CP_Radial_D5.0mm_P2.00mm","CP_Radial_D5.0mm_P2.00mm","",""
"3","D1","1","Microchip","1N4148-1","Diode","","",""
"4","J1","1","Adafruit","2222","","","",""
"5","J2,J3","2","Same Sky (Formerly CUI Devices)","SDS-50J","Connector","","",""
"6","R1,R2,R3,R4","4","","","Resistor, 10kΩ, H_AXIAL-P7.62_D2.5","H_AXIAL-P7.62_D2.5","",""
"7","R5","1","","","Resistor, 10Ω, H_AXIAL-P7.62_D2.5","H_AXIAL-P7.62_D2.5","",""
"8","R6","1","","","Resistor, 33Ω, H_AXIAL-P7.62_D2.5","H_AXIAL-P7.62_D2.5","",""
"9","R7","1","","","Resistor, 220Ω, H_AXIAL-P7.62_D2.5","H_AXIAL-P7.62_D2.5","",""
"10","R8","1","","","Resistor, 1kΩ, H_AXIAL-P7.62_D2.5","H_AXIAL-P7.62_D2.5","",""
"11","RV1,RV10,RV2,RV3,RV4,RV5,RV6,RV7,RV8,RV9","10","Bourns","PDB181-P415K-103B","Potentiometer","","",""
"12","SW1,SW2,SW3,SW4","4","Cherry Americas LLC","MX2A-LC3W","Switch","","",""
"13","U1,U2","2","Microchip Technology","MCP3008-I/P","Integrated Circuit","","",""
"14","U3","1","ON Semiconductor","H11L1M","Isolator","","",""
