Designator,Quantity,Element UIDs,Part UID,Specification,Part Type,Domain,Compliance,JLCPCB Part Class,Operating Voltage,Operating Temperature,Reliability Target (MTBF),Role,Role Details,Software,Connector Type,Connector Gender,Connector Pitch,Connector Positions,Connector Rows,Power Requirements,Connectivity,Human Interface,Manufacturing Quantity Target,Manufacturer Part Number,LCSC Part Number,Digi-Key Part Number,Mouser Part Number,Arrow Part Number,Verical Part Number,TME Part Number,HQonline Part Number,Allow Substitutes,Manufacturer Name,Preferred Distributors,Datasheet URL,Machine Datasheet URL,Implementation Details,License,Package or Case Code,Pin Type,Voltage,Voltage Rating,Forward Voltage,Reverse Voltage,Max Reverse Voltage,Diode Type,Mount,Integrated Circuit Type,Breakdown Voltage,Threshold Voltage,Max Output Voltage,Min Output Voltage,Initial Voltage on Reset,Resistance,Resistor Type,Gate Resistance,On Resistance,Off Resistance,Tolerance,Capacitance,Capacitor Type,Power,Power Rating,Current,Max Current,Desired Temperature Rise,Current Rating,Leakage Current,Saturation Current,Initial Current on Reset,Trigger Current,Holding Current,Frequency,Logic Function,Inductance,Inductor Shielding,Inductor Type,Beta,Drain to Source Voltage,Continuous Drain Current,Transistor Type,Gain,Coupling Coefficient,Ratio,Reference Design URL,Price,Purchase Url,Product Info Url,Product Image Url,Substitute Manufacturer Part Number,KiCAD Library Reference,Exclude from PCB,Controlled Impedance,Controlled Impedance Tolerance,PN Skew Max,Pair to Pair Skew Max,Pin Delay,Controlled Impedance Pair,Bus Group,Pair Role,Pin Role,Bus Type,Symbol Style,Symbol Size,Net Type,Package,Designator Prefix,Functional Group
"C1,C2,C4","3","27927298-c2df-4d10-a36b-639f23d90cb1,43cee3dc-6883-4f08-b8e1-fbf8c76e5610,7082e9d8-bd9b-4cd2-b768-de2fe1b1543c","46707925-236f-106b-e676-afa2757aa1d6","Non-Polarized Capacitor, 100nF, C_Disc_D5.0mm_W2.5mm_P5.00mm","Non-Polarized Capacitor","","","","","","","Decoupling","U2 VDD local ceramic decoupling,U3 H11L1 VCC-to-GND local ceramic decoupling,U1 VDD local ceramic decoupling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50V","","","","","","","","","","","","","","","","","%","100nF","Ceramic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C_Disc_D5.0mm_W2.5mm_P5.00mm","C","Analog Controls/ADC,Power/Decoupling,MIDI IN,Power/Decoupling"
"C3","1","1981949a-8afc-4eb5-a6c2-2ccec9c2037c","46707925-236f-106b-e676-afa2757aa1d6","Non-Polarized Capacitor, 10uF, CP_Radial_D5.0mm_P2.00mm","Non-Polarized Capacitor","","","","","","","Bulk","3V3 rail bulk capacitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16V","","","","","","","","","","","","","","","","","%","10uF","Aluminum Electrolytic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CP_Radial_D5.0mm_P2.00mm","C","Power/Decoupling"
"D1","1","69f8ffb5-c50c-4b62-90b4-8a3294d796af","1fc1a3ee-d114-48a0-824a-4674d2c6b71c","Diode","Diode","","","","","","","Protection","Reverse-voltage protection across H11L1 LED","","","","","","","","","","","1N4148-1","","","","","","","","","Microchip","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D","MIDI IN"
"J1","1","bdc4a7ad-4d26-4a7b-b26d-7d4d3f0fd576","e5d431ce-afbd-86b4-1232-d5553c7d1a31","","","","","","","","","Host Interface","Raspberry Pi 40-pin GPIO and power interface","","","Female","2.54mm","40","2","","","","","2222","","","","","","","","","Adafruit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Raspberry Pi Interface"
"J2,J3","2","0d2b8b45-cf37-4cda-a006-642c06c774b8,3574bbd4-dfb2-4165-9d8e-fd00f6ac83c7","47fd0bb6-3795-458b-9de6-e0e2f36c820e","Connector","Connector","","","","","","","Isolation,Signal Generation","MIDI IN DIN-5 isolated current loop interface,MIDI OUT DIN-5 CA-033 low-voltage interface","","","Female","","","","","","","","SDS-50J","","","","","","","","","Same Sky (Formerly CUI Devices)","","","","","https://creativecommons.org/licenses/by/4.0/","","","","","","","","","Standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","parametric-v1","","","","J","MIDI IN,MIDI OUT"
"R1,R2,R3,R4","4","088d76f7-749d-4295-9a01-7b268ac27179,0a023d30-c765-4330-90ad-1e0aec2fb36f,18e11133-7011-4637-b9a1-ea84e7cddb62,dc9b1e33-9f1f-4bc8-8195-e9f33d57cb22","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 10kΩ, H_AXIAL-P7.62_D2.5","Resistor","","","","","","","Pull Up / Down","SW3 GPIO13 active-low pull-up to 3V3,SW1 GPIO5 active-low pull-up to 3V3,SW4 GPIO19 active-low pull-up to 3V3,SW2 GPIO6 active-low pull-up to 3V3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","10kΩ","","","","","1%","","","","0.25W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H_AXIAL-P7.62_D2.5","R","Transport Keys"
"R5","1","932e038c-403d-4bfb-bd74-11136ae1aab2","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 10Ω, H_AXIAL-P7.62_D2.5","Resistor","","","","","","","Current Limiting","CA-033 GPIO14/TXD series resistor to DIN pin 5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","10Ω","","","","","1%","","","","0.25W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H_AXIAL-P7.62_D2.5","R","MIDI OUT"
"R6","1","2d14d48c-85d4-493e-bb08-17420e53dca0","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 33Ω, H_AXIAL-P7.62_D2.5","Resistor","","","","","","","Current Limiting","CA-033 3V3 feed resistor to DIN pin 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","33Ω","","","","","1%","","","","0.25W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H_AXIAL-P7.62_D2.5","R","MIDI OUT"
"R7","1","d6df3254-931e-43c4-bcf0-e534d422fc38","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 220Ω, H_AXIAL-P7.62_D2.5","Resistor","","","","","","","Current Limiting","MIDI IN isolated loop current limiter from J3 pin 4 to H11L1 anode","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","220Ω","","","","","1%","","","","0.25W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H_AXIAL-P7.62_D2.5","R","MIDI IN"
"R8","1","3b08da1c-dbce-4a94-b6da-68a61b7cf96a","b67f50a9-ae5e-10ea-9c3c-d377e2ab3b2d","Resistor, 1kΩ, H_AXIAL-P7.62_D2.5","Resistor","","","","","","","Pull Up / Down","H11L1 open-collector VO pull-up to 3V3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","V","","","","","","","","","","","","1kΩ","","","","","1%","","","","0.25W","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","H_AXIAL-P7.62_D2.5","R","MIDI IN"
