Comment,Designator,Footprint,JLCPCB Part #,LCSC Part #
"Non-Polarized Capacitor 100nF C_Disc_D5.0mm_W2.5mm_P5.00mm","C1, C2, C4","C_Disc_D5.0mm_W2.5mm_P5.00mm","",""
"Non-Polarized Capacitor 10uF CP_Radial_D5.0mm_P2.00mm","C3","CP_Radial_D5.0mm_P2.00mm","",""
"1N4148-1","D1","","",""
"2222","J1","","",""
"SDS-50J","J2, J3","","",""
"Resistor 10kΩ H_AXIAL-P7.62_D2.5","R1, R2, R3, R4","H_AXIAL-P7.62_D2.5","",""
"Resistor 10Ω H_AXIAL-P7.62_D2.5","R5","H_AXIAL-P7.62_D2.5","",""
"Resistor 33Ω H_AXIAL-P7.62_D2.5","R6","H_AXIAL-P7.62_D2.5","",""
"Resistor 220Ω H_AXIAL-P7.62_D2.5","R7","H_AXIAL-P7.62_D2.5","",""
"Resistor 1kΩ H_AXIAL-P7.62_D2.5","R8","H_AXIAL-P7.62_D2.5","",""
"PDB181-P415K-103B","RV1, RV10, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9","","",""
"MX2A-LC3W","SW1, SW2, SW3, SW4","","",""
"MCP3008-I/P","U1, U2","","",""
"H11L1M","U3","","",""
