Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C1","-33mm","-36.5mm","Top",90,"C_Disc_D5.0mm_W2.5mm_P5.00mm","100nF"
"C2","74mm","-36.5mm","Top",90,"C_Disc_D5.0mm_W2.5mm_P5.00mm","100nF"
"C3","-103mm","50mm","Top",0,"CP_Radial_D5.0mm_P2.00mm","10uF"
"C4","107mm","-21mm","Top",90,"C_Disc_D5.0mm_W2.5mm_P5.00mm","100nF"
"D1","99mm","-35.19mm","Top",90,"",""
"J1","-73.6686mm","70.6269mm","Top",0,"",""
"J2","-99.05mm","-60mm","Top",270,"",""
"J3","99.05mm","-60mm","Top",90,"",""
"R1","-78mm","55mm","Top",0,"H_AXIAL-P7.62_D2.5","10kΩ"
"R2","-78mm","22mm","Top",0,"H_AXIAL-P7.62_D2.5","10kΩ"
"R3","78mm","22mm","Top",0,"H_AXIAL-P7.62_D2.5","10kΩ"
"R4","78mm","55mm","Top",0,"H_AXIAL-P7.62_D2.5","10kΩ"
"R5","-100mm","10mm","Top",90,"H_AXIAL-P7.62_D2.5","10Ω"
"R6","-95.5mm","10mm","Top",90,"H_AXIAL-P7.62_D2.5","33Ω"
"R7","94mm","-35.19mm","Top",90,"H_AXIAL-P7.62_D2.5","220Ω"
"R8","100mm","-11mm","Top",0,"H_AXIAL-P7.62_D2.5","1kΩ"
"RV1","-82mm","-67.25mm","Top",0,"","10kΩ"
"RV2","-41mm","-67.25mm","Top",0,"","10kΩ"
"RV3","0mm","-67.25mm","Top",0,"","10kΩ"
"RV4","41mm","-67.25mm","Top",0,"","10kΩ"
"RV5","82mm","-67.25mm","Top",0,"","10kΩ"
"RV6","-82mm","-26.25mm","Top",0,"","10kΩ"
"RV7","-41mm","-26.25mm","Top",0,"","10kΩ"
"RV8","0mm","-26.25mm","Top",0,"","10kΩ"
"RV9","41mm","-26.25mm","Top",0,"","10kΩ"
"RV10","82mm","-26.25mm","Top",0,"","10kΩ"
"SW1","-62mm","57.54mm","Top",0,"",""
"SW2","-62mm","24.54mm","Top",0,"",""
"SW3","62mm","24.54mm","Top",0,"",""
"SW4","62mm","57.54mm","Top",0,"",""
"U1","-20.5mm","-35mm","Top",0,"",""
"U2","61.5mm","-35mm","Top",180,"",""
"U3","100mm","-21mm","Top",0,"",""
